# FILEID Resolution Wind shore SARResolution NumObjects
SARShip-1.0-1 3000×3000 2级 inshore 3 5
SARShip-1.0-2 3000×3000 0级 inshore 1 7
SARShip-1.0-3 3000×3000 3级 offshore 3 10
SARShip-1.0-4 3000×3000 2级 offshore 3 8
SARShip-1.0-5 3000×3000 1级 inshore 3 15
SARShip-1.0-6 3000×3000 4级 offshore 3 3
SARShip-1.0-7 3000×3000 4级 offshore 3 5
SARShip-1.0-8 3000×3000 1级 inshore 1 2
SARShip-1.0-9 3000×3000 2级 inshore 1 7
SARShip-1.0-10 3000×3000 1级 offshore 1 50
SARShip-1.0-11 3000×3000 1级 inshore 1 104
SARShip-1.0-12 3000×3000 2级 inshore 1 18
SARShip-1.0-13 3000×3000 1级 inshore 1 21
SARShip-1.0-14 3000×3000 1级 inshore 1 15
SARShip-1.0-15 3000×3000 1级 inshore 1 77
SARShip-1.0-16 3000×3000 3级 inshore 3 13
SARShip-1.0-17 3000×3000 3级 inshore 3 3
SARShip-1.0-18 3000×3000 3级 inshore 3 2
SARShip-1.0-19 3000×3000 3级 inshore 3 1
SARShip-1.0-20 3000×3000 2级 inshore 3 7
SARShip-1.0-21 3000×3000 2级 inshore 3 9
SARShip-1.0-22 3000×3000 1级 inshore 3 14
SARShip-1.0-23 3000×3000 1级 offshore 3 4
SARShip-1.0-24 3000×3000 4级 offshore 3 6
SARShip-1.0-25 3000×3000 4级 offshore 1 22
SARShip-1.0-26 3000×3000 2级 inshore 3 15
SARShip-1.0-27 3000×3000 2级 inshore 3 19
SARShip-1.0-28 3000×3000 1级 inshore 3 8
SARShip-1.0-29 3000×3000 3级 offshore 3 6
SARShip-1.0-30 3000×3000 2级 offshore 3 8
SARShip-1.0-31 3000×3000 1级 inshore 3 3
